"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить: при создании нового заказа счетчик ""Выполнено за сегодня"" увеличивается","22291","Проверка раздела ""Лента заказов""","tests","2026-05-25","passed","2026-05-25","TestOrderPageFunctional","test_order_page","",""
"Проверить: если кликнуть на заказ, откроется всплывающее окно с деталями","12089","Проверка раздела ""Лента заказов""","tests","2026-05-25","passed","2026-05-25","TestOrderPageFunctional","test_order_page","",""
"Проверить: клик по кнопке показать\скрыть пароль на странице ""Вход""","10452","Проверить клик по кнопке показать\скрыть пароль","tests","2026-05-25","passed","2026-05-25","TestUpdatePassword","test_update_password","",""
"Проверить: переход в раздел ""История заказов""","41323","Проверить Личный кабинет","tests","2026-05-25","passed","2026-05-25","TestLoginPage","test_login_page","",""
"Проверить: переход по клику в личный кабинет авторизованным пользователем","21159","Проверить Личный кабинет","tests","2026-05-25","passed","2026-05-25","TestLoginPage","test_login_page","",""
"Проверить: клик по кнопке показать\скрыть пароль на странице ""Восстановление пароля""","11074","Проверить клик по кнопке показать\скрыть пароль","tests","2026-05-25","passed","2026-05-25","TestUpdatePassword","test_update_password","",""
"Проверить: после оформления заказа его номер появляется в разделе ""В работе""","11502","Проверка раздела ""Лента заказов""","tests","2026-05-25","passed","2026-05-25","TestOrderPageFunctional","test_order_page","",""
"Проверить: переход по клику на ""Конструктор""","10335","Проверка основного функционала","tests","2026-05-25","passed","2026-05-25","TestMainFunctional","test_main_functionality","",""
"Проверить: переход в раздел ""История заказов""","41215","Проверить Личный кабинет","tests","2026-05-25","passed","2026-05-25","TestLoginPage","test_login_page","",""
"Проверить: Переход на страницу восстановление пароля по кнопке ""Восстановить пароль""","10428","Проверить страницу ""Восстановления пароля""","tests","2026-05-25","passed","2026-05-25","TestUpdatePassword","test_update_password","",""
"Проверить: переход по клику на ""Лента заказов""","10892","Проверка основного функционала","tests","2026-05-25","passed","2026-05-25","TestMainFunctional","test_main_functionality","",""
"Проверить: после оформления заказа его номер появляется в разделе ""В работе""","12557","Проверка раздела ""Лента заказов""","tests","2026-05-25","passed","2026-05-25","TestOrderPageFunctional","test_order_page","",""
"Проверить: переход по клику на ""Конструктор""","10408","Проверка основного функционала","tests","2026-05-25","passed","2026-05-25","TestMainFunctional","test_main_functionality","",""
"Проверить: выход из аккаунта","31524","Проверить Личный кабинет","tests","2026-05-25","passed","2026-05-25","TestLoginPage","test_login_page","",""
"Проверить: заказы пользователя из раздела ""История заказов""отображаются на странице ""Лента заказов""","43565","Проверка раздела ""Лента заказов""","tests","2026-05-25","passed","2026-05-25","TestOrderPageFunctional","test_order_page","",""
"Проверить: всплывающее окно закрывается кликом по крестику","10917","Проверка основного функционала","tests","2026-05-25","passed","2026-05-25","TestMainFunctional","test_main_functionality","",""
"Проверить: выход из аккаунта","31529","Проверить Личный кабинет","tests","2026-05-25","passed","2026-05-25","TestLoginPage","test_login_page","",""
"Проверить: клик по кнопке показать\скрыть пароль на странице ""Восстановление пароля""","11628","Проверить клик по кнопке показать\скрыть пароль","tests","2026-05-25","passed","2026-05-25","TestUpdatePassword","test_update_password","",""
"Проверить: всплывающее окно закрывается кликом по крестику","10942","Проверка основного функционала","tests","2026-05-25","passed","2026-05-25","TestMainFunctional","test_main_functionality","",""
